x,y,z,ln_permea,facies
44,36,0,-12.1538868,sand
44,36,1,-12.3433418,sand
44,36,2,-12.943327,sand
44,36,3,-11.9597998,sand
44,36,4,-11.27318,sand
44,36,5,-11.9448776,sand
44,36,6,-12.1214657,sand
44,36,7,-11.1009483,sand
44,36,8,-10.9764547,sand
44,36,9,-11.2653656,sand
44,36,10,-11.6838379,sand
44,36,11,-16.4697399,clay
44,36,12,-17.0078392,clay
44,36,13,-17.4801273,clay
44,36,14,-18.0080376,clay
44,36,15,-10.0293131,sand
44,36,16,-10.3560486,sand
44,36,17,-9.91963673,sand
44,36,18,-9.3705349,sand
44,36,19,-8.82828236,sand
44,36,20,-9.08336353,sand
54,74,0,-10.0099773,sand
54,74,1,-9.9048233,sand
54,74,2,-9.9380827,sand
54,74,3,-10.2185183,sand
54,74,4,-10.5756741,sand
54,74,5,-9.37600422,sand
54,74,6,-8.913764,sand
54,74,7,-8.19293404,sand
54,74,8,-7.88102961,sand
54,74,9,-9.63454437,sand
54,74,10,-10.4971323,sand
54,74,11,-18.2315598,clay
54,74,12,-17.4416122,clay
54,74,13,-17.0926723,clay
54,74,14,-16.8544769,clay
54,74,15,-10.6963348,sand
54,74,16,-10.0980577,sand
54,74,17,-10.2270384,sand
54,74,18,-10.6241207,sand
54,74,19,-10.2913265,sand
54,74,20,-9.9954977,sand
50,64,0,-10.3033133,sand
50,64,1,-9.96669483,sand
50,64,2,-10.0241728,sand
50,64,3,-10.3764725,sand
50,64,4,-9.84164333,sand
50,64,5,-10.4001093,sand
50,64,6,-9.66421127,sand
50,64,7,-9.69725704,sand
50,64,8,-10.808466,sand
50,64,9,-9.7818985,sand
50,64,10,-8.59265137,sand
50,64,11,-17.1071739,clay
50,64,12,-17.2444534,clay
50,64,13,-18.740263,clay
50,64,14,-18.9392929,clay
50,64,15,-10.1923943,sand
50,64,16,-10.2594805,sand
50,64,17,-9.85538101,sand
50,64,18,-9.52699375,sand
50,64,19,-9.71216106,sand
50,64,20,-9.06260872,sand
76,12,0,-9.86705494,sand
76,12,1,-9.31542492,sand
76,12,2,-9.58277988,sand
76,12,3,-9.24414158,sand
76,12,4,-10.6727161,sand
76,12,5,-11.4612465,sand
76,12,6,-10.9854565,sand
76,12,7,-10.2988739,sand
76,12,8,-9.47881317,sand
76,12,9,-10.2298145,sand
76,12,10,-10.598546,sand
76,12,11,-14.5513639,clay
76,12,12,-14.7597704,clay
76,12,13,-15.5997448,clay
76,12,14,-14.4924889,clay
76,12,15,-9.72349262,sand
76,12,16,-9.25983143,sand
76,12,17,-9.0230732,sand
76,12,18,-9.41731739,sand
76,12,19,-10.4001303,sand
76,12,20,-12.0247917,sand
20,80,0,-9.67910862,sand
20,80,1,-10.6639299,sand
20,80,2,-11.0343227,sand
20,80,3,-10.5433989,sand
20,80,4,-11.5309725,sand
20,80,5,-11.9733267,sand
20,80,6,-11.8773603,sand
20,80,7,-11.4679947,sand
20,80,8,-10.7423601,sand
20,80,9,-10.7900887,sand
20,80,10,-10.2631483,sand
20,80,11,-16.3598976,clay
20,80,12,-15.9804125,clay
20,80,13,-15.9273472,clay
20,80,14,-16.6566486,clay
20,80,15,-9.29450321,sand
20,80,16,-9.37925243,sand
20,80,17,-10.2891836,sand
20,80,18,-10.3692226,sand
20,80,19,-9.29174042,sand
20,80,20,-9.53092766,sand
